i	treeindex	accept	nnodes	distance	loglik	post	loga	Q	ru
7613	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-110.003209076629	1	-0.820774864303376
7614	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-715.58110150649	1	-1.06508795787151
7615	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-100.532812451405	1	-2.13537442099288
7616	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-708.645048921487	22.5	-1.70202002185156
7617	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-715.555586165192	1	-0.742734913313436
7618	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-6.84526507140385	0.0431034482758621	-0.239992382954895
7619	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-900.889564827601	22.5	-0.699508395487881
7620	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-7.19967493255302	0.0431034482758621	-0.809022669989402
7621	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-6.76524919349089	0.0431034482758621	-1.16717022996829
7622	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-907.900611435878	1	-0.19342852849598
7623	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-708.645048921487	22.5	-0.357224590319863
7624	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-112.875774362266	1	-0.162952392914364
7625	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-712.627870003642	1	-0.889369829722652
7626	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-7.23707244168094	0.0431034482758621	-1.74858926890909
7627	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-708.645048921487	22.5	-0.117569491902134
7628	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-112.694672768012	1	-0.127105527796819
7629	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-100.297896602558	1	-0.105460154390215
7630	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-93.692730264272	22.5	-1.4295587481423
